district_name,Month,cards_afsc,cards_fsc,cards_aap,cards_total,units_afsc,units_fsc,units_aap,units_total,rice_req_afsc,rice_req_fsc,rice_req_aap,rice_req_total,op_bal_rice_afsc,op_bal_rice_fsc,op_bal_rice_aap,op_bal_rice_total,qty_rice_toallocate_afsc,qty_rice_toallocate_fsc,qty_rice_toallocate_aap,qty_rice_toallocate_total,%partial_allot,%partial_allot_afsc,%partial_allot_fsc,%partial_allot_aap,%partial_allot_total,%final_allot,fin_allot_afsc,fin_allot_fsc,fin_allot_aap,fin_allot_total,,
Ranga Reddy,"June, 2016",13839,542151,24,556014,31537,1799863,28,1831428,484365,10799178,240,11283783,112521,2152923,10,2265454,371844,8646255,230,9018329,0,0,0,0,0,100,371844,8646255,230,9018329,-112521,-2265454
Warangal,"June, 2016",58461,913555,141,972157,159163,2761018,153,2920334,2046135,16566108,1410,18613653,525,80622,0,81147,2045610,16485486,1410,18532506,0,0,0,0,0,100,2045610,16485486,1410,18532506,-525,-81147
Total,"June, 2016",566767,8310944,4998,8882709,1525448,26432881,5177,27963506,19836845,158597286,49980,178484111,479251,4983431,1723,5464405,19357594,153613855,48257,173019706,,0,0,0,0,,19357594,153613855,48257,173019706,-479251,-5464405
Adilabad,"June, 2017",12923,168986,278,182187,39791,593632,283,633706,452305,3561792,2780,4016877,35,8031,10,8076,452270,3553761,2770,4008801,0,0,0,0,0,100,452270,3553761,2770,4008801,-35,-8076
Bhadrdri Kothagudem,"June, 2017",17579,257996,4,275579,46856,771661,4,818521,615265,4629966,40,5245271,8155,174249,0,182404,607110,4455717,40,5062867,0,0,0,0,0,100,607110,4455717,40,5062867,-8155,-182404
Hyderabad,"June, 2017",32590,556962,1647,591199,84666,2102034,1667,2188367,1140650,12612204,16470,13769324,175064,1651373,4610,1831047,965586,10960831,11860,11938277,0,0,0,0,0,100,968211,10982831,11860,11962902,-172439,-1806422
Jagityal,"June, 2017",14688,276236,168,291092,37995,804932,174,843101,514080,4829592,1680,5345352,700,11856,10,12566,513380,4817736,1670,5332786,0,0,0,0,0,100,513380,4817736,1670,5332786,-700,-12566
Janagaon,"June, 2017",10615,152264,107,162986,31961,482825,113,514899,371525,2896950,1070,3269545,350,19824,0,20174,371175,2877126,1070,3249371,0,0,0,0,0,100,371175,2877126,1070,3249371,-350,-20174
Jayashankar,"June, 2017",17100,190427,44,207571,43715,556516,44,600275,598500,3339096,440,3938036,4585,29364,0,33949,593915,3309732,440,3904087,0,0,0,0,0,100,593915,3309732,440,3904087,-4585,-33949
Jogulamba Gadwal,"June, 2017",10162,141608,143,151913,27149,502329,148,529626,355670,3013974,1430,3371074,0,5356,0,5356,355670,3008618,1430,3365718,0,0,0,0,0,100,355670,3008618,1430,3365718,0,-5356
Kamareddy,"June, 2017",16336,228861,1094,246291,46543,813609,1111,861263,571760,4881654,10940,5464354,0,8273,0,8273,571760,4873381,10940,5456081,0,0,0,0,0,100,571760,4873381,10940,5456081,0,-8273
Karimnagar,"June, 2017",15994,255055,50,271099,41754,770832,51,812637,559790,4624992,500,5185282,1622,31956,0,33578,558168,4593036,500,5151704,0,0,0,0,0,100,558168,4593036,500,5151704,-1622,-33578
Khammam,"June, 2017",26581,369305,2,395888,72236,1053579,4,1125819,930335,6321474,20,7251829,34506,635572,0,670078,895829,5685902,20,6581751,0,0,0,0,0,100,895829,5685902,20,6581751,-34506,-670078
Kumarambheem,"June, 2017",12094,123567,23,135684,40255,423529,26,463810,423290,2541174,230,2964694,0,4624,0,4624,423290,2536550,230,2960070,0,0,0,0,0,100,423290,2536550,230,2960070,0,-4624
Mahabubabad,"June, 2017",14687,217004,2,231693,40107,662493,5,702605,514045,3974958,20,4489023,420,54094,0,54514,513625,3920864,20,4434509,0,0,0,0,0,100,513625,3920864,20,4434509,-420,-54514
Mahbubnagar,"June, 2017",27465,339041,269,366775,71589,1218014,312,1289915,961275,7308084,2690,8272049,180931,1164126,810,1345867,780344,6143958,1880,6926182,0,0,0,0,0,100,780344,6300203,1880,7082427,-180931,-1189622
Manchiryala,"June, 2017",15057,197382,192,212631,46171,594711,193,641075,526995,3568266,1920,4097181,35,19891,0,19926,526960,3548375,1920,4077255,0,0,0,0,0,100,526960,3548375,1920,4077255,-35,-19926
Medak,"June, 2017",13016,194552,88,207656,34535,648187,89,682811,455560,3889122,880,4345562,0,58812,0,58812,455560,3830310,880,4286750,0,0,0,0,0,100,455560,3830310,880,4286750,0,-58812
Medchal,"June, 2017",18380,464580,115,483075,45760,1552618,118,1598496,643300,9315708,1150,9960158,75995,1720439,120,1796554,567305,7595269,1030,8163604,0,0,0,0,0,100,568705,7630769,1030,8200504,-74595,-1759654
Nagarkarnool,"June, 2017",17041,211591,42,228674,47160,701895,46,749101,596435,4211370,420,4808225,168,8246,0,8414,596267,4203124,420,4799811,0,0,0,0,0,100,596267,4203124,420,4799811,-168,-8414
Nalgonda,"June, 2017",28940,421016,74,450030,74596,1294380,75,1369051,1012900,7766280,740,8779920,2450,138931,0,141381,1010450,7627349,740,8638539,0,0,0,0,0,100,1010450,7627349,740,8638539,-2450,-141381
Nirmal,"June, 2017",11753,187631,36,199420,36471,607186,36,643693,411355,3643116,360,4054831,0,3584,0,3584,411355,3639532,360,4051247,0,0,0,0,0,100,411355,3639532,360,4051247,0,-3584
Nizamabad,"June, 2017",19946,355678,1146,376770,55000,1207558,1173,1263731,698110,7245348,11460,7954918,140,18491,0,18631,697970,7226857,11460,7936287,0,0,0,0,0,100,697970,7226857,11460,7936287,-140,-18631
