district_name,Month,cards_afsc,cards_fsc,cards_aap,cards_total,units_afsc,units_fsc,units_aap,units_total,rice_req_afsc,rice_req_fsc,rice_req_aap,rice_req_total,op_bal_rice_afsc,op_bal_rice_fsc,op_bal_rice_aap,op_bal_rice_total,qty_rice_toallocate_afsc,qty_rice_toallocate_fsc,qty_rice_toallocate_aap,qty_rice_toallocate_total,%partial_allot,%partial_allot_afsc,%partial_allot_fsc,%partial_allot_aap,%partial_allot_total,%final_allot,fin_allot_afsc,fin_allot_fsc,fin_allot_aap,fin_allot_total,,
Manchiryala,"December, 2016",15061,197343,192,212596,46213,594631,193,641037,527135,3567786,1920,4096841,0,18452,0,18452,527135,3549334,1920,4078389,0,0,0,0,0,100,527135,3549334,1920,4078389,0,-18452
Medak,"December, 2016",13010,194575,86,207671,34590,648725,87,683402,455350,3892350,860,4348560,0,9236,0,9236,455350,3883114,860,4339324,0,0,0,0,0,100,455350,3883114,860,4339324,0,-9236
Medchal,"December, 2016",18393,457507,110,476010,45613,1518545,113,1564271,643755,9111270,1100,9756125,64157,1468370,60,1532587,579598,7642900,1040,8223538,0,0,0,0,0,100,579598,7642900,1040,8223538,-64157,-1532587
Nagarkarnool,"December, 2016",17020,209863,42,226925,47062,695383,46,742491,595700,4172298,420,4768418,0,8837,0,8837,595700,4163461,420,4759581,0,0,0,0,0,100,595700,4163461,420,4759581,0,-8837
Nalgonda,"December, 2016",28938,419577,78,448593,74539,1283904,79,1358522,1012830,7703424,780,8717034,385,60104,0,60489,1012445,7643320,780,8656545,0,0,0,0,0,100,1012445,7643320,780,8656545,-385,-60489
Nirmal,"December, 2016",11754,187335,36,199125,36489,605754,36,642279,411390,3634524,360,4046274,0,2862,0,2862,411390,3631662,360,4043412,0,0,0,0,0,100,411390,3631662,360,4043412,0,-2862
Nizamabad,"December, 2016",20101,353485,1101,374687,55272,1192704,1126,1249102,703535,7156224,11010,7870769,6292,18509,0,24801,697243,7137715,11010,7845968,0,0,0,0,0,100,697278,7141993,11010,7850281,-6257,-20488
Peddapalli,"December, 2016",12433,198895,180,211508,33843,587119,186,621148,435155,3522714,1800,3959669,535,11233,0,11768,434620,3511481,1800,3947901,0,0,0,0,0,100,434620,3511481,1800,3947901,-535,-11768
Ranga Reddy,"December, 2016",30400,302253,45,332698,82989,1025463,57,1108509,1064000,6152778,450,7217228,875,41903,0,42778,1063125,6110875,450,7174450,0,0,0,0,0,100,1063125,6110875,450,7174450,-875,-42778
Ranga Reddy,"December, 2016",5192,179188,0,184380,10435,602040,0,612475,181720,3612240,0,3793960,44885,588945,0,633830,136835,3023295,0,3160130,0,0,0,0,0,100,136835,3023283,0,3160118,-44885,-633842
Sangareddy,"December, 2016",27147,332486,118,359751,71053,1125469,121,1196643,950145,6752814,1180,7704139,189,22619,0,22808,949956,6730195,1180,7681331,0,0,0,0,0,100,949956,6730195,1180,7681331,-189,-22808
Siddipet,"December, 2016",18877,262364,88,281329,52480,835397,89,887966,660695,5012382,880,5673957,350,22904,0,23254,660345,4989478,880,5650703,0,0,0,0,0,100,660345,4989478,880,5650703,-350,-23254
Rajanna Siricilla,"December, 2016",13708,153487,222,167417,36443,456109,226,492778,479780,2736654,2220,3218654,345,7012,40,7397,479435,2729642,2180,3211257,0,0,0,0,0,100,479435,2729642,2180,3211257,-345,-7397
Suryapet,"December, 2016",18819,287956,50,306825,50351,852345,51,902747,658665,5114070,500,5773235,595,54638,0,55233,658070,5059432,500,5718002,0,0,0,0,0,100,658070,5059432,500,5718002,-595,-55233
Vikarabad,"December, 2016",27342,205649,42,233033,75678,735126,48,810852,956970,4410756,420,5368146,0,11923,0,11923,956970,4398833,420,5356223,0,0,0,0,0,100,956970,4398833,420,5356223,0,-11923
Wanaparthy,"December, 2016",9783,139230,118,149131,28566,475561,127,504254,342405,2853366,1180,3196951,35,4018,0,4053,342370,2849348,1180,3192898,0,0,0,0,0,100,342370,2849348,1180,3192898,-35,-4053
Warangal,"December, 2016",9746,195595,16,205357,27580,601151,16,628747,341110,3606906,160,3948176,0,20792,0,20792,341110,3586114,160,3927384,0,0,0,0,0,100,341110,3586114,160,3927384,0,-20792
Warangal Rural,"December, 2016",12203,205581,15,217799,31731,619733,18,651482,427105,3718398,150,4145653,70,10339,0,10409,427035,3708059,150,4135244,0,0,0,0,0,100,427035,3708059,150,4135244,-70,-10409
Yadadri Bhuvanagiri,"December, 2016",13235,191295,2,204532,35935,606898,2,642835,463225,3641388,20,4104633,1015,24840,0,25855,462210,3616548,20,4078778,0,0,0,0,0,100,462210,3616548,20,4078778,-1015,-25855
Total,"December, 2016",555823,7972968,4993,8533784,1508956,25843127,5164,27357247,19453805,155058762,49930,174562497,288643,4119579,724,4408946,19165162,150939183,49206,170153551,,0,0,0,0,,19165197,150943449,49206,170157852,-288608,-4404645
Adilabad,"December, 2017",12920,168770,277,181967,39779,592820,282,632881,452200,3556920,2770,4011890,35,4859,10,4904,452165,3552061,2760,4006986,0,0,0,0,0,100,452165,3552061,2760,4006986,-35,-4904
Bhadrdri Kothagudem,"December, 2017",17575,257944,4,275523,46831,771410,4,818245,615125,4628460,40,5243625,2300,147463,0,149763,612825,4480997,40,5093862,0,0,0,0,0,100,612825,4480997,40,5093862,-2300,-149763
Hyderabad,"December, 2017",30610,524130,1430,556170,81156,2001734,1459,2084349,1071350,12010404,14300,13096054,144455,1081976,2949,1229380,926895,10928428,11351,11866674,0,0,0,0,0,100,926895,10928428,11351,11866674,-144455,-1229380
Jagityal,"December, 2017",14679,276173,168,291020,37974,804620,174,842768,513765,4827720,1680,5343165,23798,358928,230,382956,489967,4468792,1450,4960209,0,0,0,0,0,100,489967,4468792,1450,4960209,-23798,-382956
Janagaon,"December, 2017",10611,152201,104,162916,31951,482440,110,514501,371385,2894640,1040,3267065,24791,382787,144,407722,346594,2511853,896,2859343,0,0,0,0,0,100,346594,2511853,896,2859343,-24791,-407722
Jayashankar,"December, 2017",17095,190405,44,207544,43701,556408,44,600153,598325,3338448,440,3937213,82223,451127,90,533440,516102,2887321,350,3403773,0,0,0,0,0,100,516102,2887321,350,3403773,-82223,-533440
