from_node,to_node,distance_km
godown_Adilabad,shop_1909008,32.337
godown_Adilabad,shop_1909009,28.446
godown_Adilabad,shop_1909010,29.611
godown_Adilabad,shop_1909013,28.851
godown_Adilabad,shop_1909015,28.773
godown_Adilabad,shop_1909016,27.543
godown_Adilabad,shop_1909017,38.506
godown_Adilabad,shop_1909018,35.242
godown_Adilabad,shop_1909020,35.754
godown_Adilabad,shop_1909021,33.236
godown_Adilabad,shop_1909022,30.313
godown_Adilabad,shop_1909024,42.943
godown_Adilabad,shop_1910001,29.895
godown_Adilabad,shop_1910002,29.885
godown_Adilabad,shop_1910003,29.725
godown_Adilabad,shop_1910004,29.957
godown_Adilabad,shop_1910005,27.426
godown_Adilabad,shop_1910006,27.486
godown_Adilabad,shop_1910007,22.298
godown_Adilabad,shop_1910008,29.431
godown_Adilabad,shop_1910009,29.39
godown_Adilabad,shop_1910010,24.399
godown_Adilabad,shop_1910011,26.526
godown_Adilabad,shop_1910012,25.854
godown_Adilabad,shop_1910013,28.58
godown_Adilabad,shop_1910014,31.398
godown_Adilabad,shop_1910015,25.731
godown_Adilabad,shop_1910016,26.248
godown_Adilabad,shop_1910017,26.926
godown_Adilabad,shop_1910018,26.297
godown_Adilabad,shop_1910019,24.045
godown_Adilabad,shop_1910020,21.728
godown_Adilabad,shop_1910030,29.951
godown_Adilabad,shop_1911001,41.841
godown_Adilabad,shop_1911002,41.838
godown_Adilabad,shop_1911003,41.842
godown_Adilabad,shop_1911004,42.214
godown_Adilabad,shop_1911005,42.215
godown_Adilabad,shop_1911006,39.485
godown_Adilabad,shop_1911007,45.149
godown_Adilabad,shop_1911008,40.438
godown_Adilabad,shop_1911009,46.814
godown_Adilabad,shop_1911010,48.558
godown_Adilabad,shop_1911011,44.384
godown_Adilabad,shop_1911012,45.042
godown_Adilabad,shop_1911013,45.145
godown_Adilabad,shop_1911014,41.059
godown_Adilabad,shop_1911015,43.18
godown_Adilabad,shop_1911016,49.114
godown_Adilabad,shop_1911017,35.691
godown_Adilabad,shop_1911018,35.906
godown_Adilabad,shop_1911019,37.468
godown_Adilabad,shop_1911020,37.475
godown_Adilabad,shop_1911021,38.189
godown_Adilabad,shop_1911022,35.648
godown_Adilabad,shop_1911023,36.813
godown_Adilabad,shop_1911024,36.334
godown_Adilabad,shop_1912001,43.027
godown_Adilabad,shop_1912002,50.882
godown_Adilabad,shop_1912003,36.574
godown_Adilabad,shop_1912004,45.827
godown_Adilabad,shop_1912005,45.608
godown_Adilabad,shop_1912006,40.82
godown_Adilabad,shop_1912007,42.819
godown_Adilabad,shop_1912008,40.48
godown_Adilabad,shop_1912009,37.601
godown_Adilabad,shop_1912010,39.333
godown_Adilabad,shop_1912011,45.99
godown_Adilabad,shop_1912012,47.598
godown_Adilabad,shop_1912013,45.64
godown_Adilabad,shop_1912014,52.379
godown_Adilabad,shop_1912015,51.208
godown_Adilabad,shop_1912016,42.817
godown_Adilabad,shop_1926001,41.822
godown_Adilabad,shop_1926002,41.869
godown_Adilabad,shop_1926003,41.572
godown_Adilabad,shop_1926004,40.646
godown_Adilabad,shop_1926005,41.193
godown_Adilabad,shop_1926006,41.896
godown_Adilabad,shop_1926007,38.308
godown_Adilabad,shop_1926008,35.286
godown_Adilabad,shop_1926009,33.401
godown_Adilabad,shop_1926010,35.195
godown_Adilabad,shop_1926011,33.425
godown_Adilabad,shop_1926012,29.283
godown_Adilabad,shop_1926013,29.346
godown_Adilabad,shop_1926014,31
godown_Adilabad,shop_1926015,36.038
godown_Adilabad,shop_1926016,29.532
godown_Adilabad,shop_1926017,27.385
godown_Adilabad,shop_1926018,31.179
godown_Adilabad,shop_1926019,31.069
godown_Adilabad,shop_1926020,8817.67
godown_Adilabad,shop_1926021,33.244
godown_Adilabad,shop_1926022,31.926
godown_Adilabad,shop_1926023,39.254
godown_Adilabad,shop_1926024,39.68
godown_Adilabad,shop_1926025,35.977
godown_Adilabad,shop_1926026,48.458
godown_Adilabad,shop_1926027,47.353
godown_Adilabad,shop_1926028,50.129
godown_Adilabad,shop_1926029,51.215
godown_Adilabad,shop_1926030,43.025
godown_Adilabad,shop_1926031,48.721
godown_Adilabad,shop_1926032,44.25
godown_Adilabad,shop_1981001,1.446
godown_Adilabad,shop_1981002,0.752
godown_Adilabad,shop_1981003,1.635
godown_Adilabad,shop_1981004,1.213
godown_Adilabad,shop_1981005,0.447
godown_Adilabad,shop_1981006,1.3
godown_Adilabad,shop_1981007,1.544
godown_Adilabad,shop_1981008,1.663
godown_Adilabad,shop_1981009,0.564
godown_Adilabad,shop_1981010,0.778
godown_Adilabad,shop_1981011,0.887
godown_Adilabad,shop_1981012,1.159
godown_Adilabad,shop_1981013,1.003
godown_Adilabad,shop_1981014,1.053
godown_Adilabad,shop_1981015,0.91
godown_Adilabad,shop_1981016,1.169
godown_Adilabad,shop_1981017,0.814
godown_Adilabad,shop_1981018,0.955
godown_Adilabad,shop_1981019,0.908
godown_Adilabad,shop_1981020,1.137
godown_Adilabad,shop_1981021,1.52
godown_Adilabad,shop_1981022,0.61
godown_Adilabad,shop_1981023,1.514
godown_Adilabad,shop_1981024,1.012
godown_Adilabad,shop_1981025,0.66
godown_Adilabad,shop_1981026,0.419
godown_Adilabad,shop_1981027,0.326
godown_Adilabad,shop_1981028,2.033
godown_Adilabad,shop_1981029,0.682
godown_Adilabad,shop_1981030,1.855
godown_Adilabad,shop_1981031,0.849
godown_Adilabad,shop_1981032,0.935
godown_Adilabad,shop_1981033,2.072
godown_Adilabad,shop_1981034,1.531
godown_Adilabad,shop_1981035,1.673
godown_Adilabad,shop_1981036,1.827
godown_Adilabad,shop_1981037,1.896
godown_Adilabad,shop_1981038,2.063
godown_Adilabad,shop_1981039,2.053
godown_Adilabad,shop_1981040,1.966
godown_Adilabad,shop_1981041,2.899
godown_Adilabad,shop_1981042,2.424
godown_Adilabad,shop_1981043,2.092
godown_Adilabad,shop_1988001,11.399
godown_Adilabad,shop_1988002,5.069
godown_Adilabad,shop_1988003,3.41
godown_Adilabad,shop_1988004,3.127
godown_Adilabad,shop_1988005,6.094
godown_Adilabad,shop_1988006,6.895
godown_Adilabad,shop_1988007,4.547
godown_Adilabad,shop_1988008,6.782
godown_Adilabad,shop_1988009,3.777
godown_Adilabad,shop_1988010,5.219
godown_Adilabad,shop_1988011,25.221
godown_Adilabad,shop_1988012,22.667
godown_Adilabad,shop_1988013,23.277
godown_Adilabad,shop_1988014,19.157
godown_Adilabad,shop_1988015,10.561
godown_Adilabad,shop_1988016,16.043
godown_Adilabad,shop_1988017,10.818
godown_Adilabad,shop_1988018,18.458
godown_Adilabad,shop_1988019,5.35
godown_Adilabad,shop_1988020,12.124
godown_Adilabad,shop_1988021,14.97
godown_Adilabad,shop_1988022,9.614
godown_Adilabad,shop_1988023,3.616
godown_Adilabad,shop_1988024,5.366
godown_Adilabad,shop_1988025,7.816
godown_Adilabad,shop_1988026,7.045
godown_Adilabad,shop_1989001,10.968
godown_Adilabad,shop_1989002,17.558
godown_Adilabad,shop_1989003,12.387
godown_Adilabad,shop_1989004,16.718
godown_Adilabad,shop_1989005,17.902
godown_Adilabad,shop_1989006,14.629
godown_Adilabad,shop_1989007,20.129
godown_Adilabad,shop_1989008,20.911
godown_Adilabad,shop_1989009,20.508
godown_Adilabad,shop_1989010,19.067
godown_Adilabad,shop_1989011,22.758
godown_Adilabad,shop_1989012,25.037
godown_Adilabad,shop_1989013,29.04
godown_Adilabad,shop_1989014,30.861
godown_Adilabad,shop_1989015,31.253
godown_Adilabad,shop_1990001,32.558
godown_Adilabad,shop_1990002,37.712
godown_Adilabad,shop_1990003,28.483
godown_Adilabad,shop_1990004,34.018
godown_Adilabad,shop_1990005,33.989
godown_Adilabad,shop_1990006,43.762
godown_Adilabad,shop_1990007,38.567
godown_Adilabad,shop_1990008,44.567
godown_Adilabad,shop_1990009,39.919
godown_Adilabad,shop_1990010,31.783
godown_Adilabad,shop_1991001,1.084
godown_Adilabad,shop_1991002,1.805
godown_Adilabad,shop_1991003,1.687
godown_Adilabad,shop_1991004,1.475
godown_Adilabad,shop_1991005,1.465
godown_Adilabad,shop_1991006,3.546
godown_Adilabad,shop_1991007,2.875
godown_Adilabad,shop_1991009,2.488
godown_Adilabad,shop_1991010,2.568
godown_Adilabad,shop_1991011,13.292
godown_Adilabad,shop_1992001,26.646
godown_Adilabad,shop_1992002,30.563
godown_Adilabad,shop_1992003,30.719
godown_Adilabad,shop_1992004,25.691
godown_Adilabad,shop_1992005,25.641
godown_Adilabad,shop_1992006,23.825
godown_Adilabad,shop_1992007,29.72
godown_Adilabad,shop_1992008,35.787
godown_Nizamabad,shop_1801001,17.724
godown_Nizamabad,shop_1801002,21.549
godown_Nizamabad,shop_1801003,13.48
godown_Nizamabad,shop_1801004,15.237
godown_Nizamabad,shop_1801005,27.54
godown_Nizamabad,shop_1801006,16.204
godown_Nizamabad,shop_1801007,24.1
godown_Nizamabad,shop_1801008,23.438
godown_Nizamabad,shop_1801009,25.544
godown_Nizamabad,shop_1801010,18.212
godown_Nizamabad,shop_1801011,18.262
godown_Nizamabad,shop_1801012,21.114
godown_Nizamabad,shop_1801013,21.829
godown_Nizamabad,shop_1801014,17.805
godown_Nizamabad,shop_1801015,27.347
godown_Nizamabad,shop_1801016,24.204
godown_Nizamabad,shop_1801017,21.491
godown_Nizamabad,shop_1801018,18.236
godown_Nizamabad,shop_1801019,13.55
godown_Nizamabad,shop_1801020,21.128
godown_Nizamabad,shop_1802001,8.996
godown_Nizamabad,shop_1802002,13.067
godown_Nizamabad,shop_1802003,12.543
godown_Nizamabad,shop_1802004,12.074
godown_Nizamabad,shop_1802005,15.002
godown_Nizamabad,shop_1802006,14.786
godown_Nizamabad,shop_1802007,14.874
godown_Nizamabad,shop_1802010,20.984
godown_Nizamabad,shop_1802011,25.564
godown_Nizamabad,shop_1802012,21.745
godown_Nizamabad,shop_1802013,16.64
